"Year","Area","Street","Street.2"
2011,"Birmingham","Doddington Road",""
2011,"Birmingham","Dog Kennel Lane",""
2011,"Birmingham","Dog Pool Lane",""
2011,"Birmingham","Downfield Drive",""
2011,"Birmingham","Dudley Bus Station",""
2011,"Birmingham","Dwellings Lane",""
2011,"Birmingham","EAFO",""
2011,"Birmingham","Edgbaston Cricket Ground",""
2011,"Birmingham","Edgbaston Park Road",""
2011,"Birmingham","Exeter Rd Hubert Rd",""
2011,"Birmingham","Fordhouse Lane",""
2011,"Birmingham","Four ACres Quinton",""
2011,"Birmingham","Frogmill Road Frankley",""
2011,"Birmingham","Genners Lane",""
2011,"Birmingham","Glastonbury Road",""
2011,"Birmingham","Great Park Rubery",""
2011,"Birmingham","Griffins Brook Lane",""
2011,"Birmingham","Grosvenor Shopping Centre",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road",""
2011,"Birmingham","Hagley Road Edgbaston",""
